Epochs,Activation Function,Number of LSTM Units,Number of Hidden Layers,Dropout Rate,MSE,RMSE,MAE,R2
50,relu,32,1,0.2,1.1327436860710642,1.064304320235084,0.8578290300179664,0.7034102432733754
100,relu,32,1,0.2,0.9733326935149814,0.9865762482013144,0.787073413729093,0.7451493128291269
150,relu,32,1,0.2,0.8034654621761957,0.8963623498207607,0.71521232829796,0.7896261714848942
200,relu,32,1,0.2,0.8467683594300865,0.9202001735655599,0.7534611344542984,0.7782880409616191
250,relu,32,1,0.2,1.0461918429702457,1.022835198343431,0.8263781013565704,0.7260723780574154
300,relu,32,1,0.2,0.8610185186534607,0.9279108355081649,0.7723947431804425,0.77455687802569
350,relu,32,1,0.2,0.8764488865603467,0.9361884887993158,0.767555461116421,0.7705166974270417
400,relu,32,1,0.2,0.8566543342709547,0.9255562296646027,0.7523932174355636,0.7756995658201433
450,relu,32,1,0.2,0.8996490118737905,0.9484982930262924,0.7794907035442653,0.7644421373943054
500,relu,32,1,0.2,1.0183367992234358,1.0091267508214397,0.8173709895435255,0.7333657496736643
550,relu,32,1,0.2,0.9793106155106628,0.9896012406573987,0.7969453372768281,0.7435840951614128
600,relu,32,1,0.2,0.8886864374429387,0.9427016693752794,0.7813856737411122,0.7673125019114729
650,relu,32,1,0.2,0.9962700732575285,0.998133294333742,0.8099340344518026,0.7391435482758195
700,relu,32,1,0.2,1.2567526579548767,1.121049801728218,0.8924987538453196,0.6709405934706827
750,relu,32,1,0.2,1.1319074277539143,1.0639113815322752,0.8389469497799122,0.7036292033557789
800,relu,32,1,0.2,0.9427035333069955,0.9709292112749495,0.7919942694056162,0.7531690398746479
850,relu,32,1,0.2,0.9017014970239263,0.9495796422754261,0.7862276926895897,0.7639047289065344
900,relu,32,1,0.2,1.0927036716277676,1.0453246728302972,0.8298637760380437,0.7138940431736495
950,relu,32,1,0.2,0.9755363531477698,0.9876924385393308,0.7947505978205882,0.7445723218624731
1000,relu,32,1,0.2,0.8916373819158343,0.94426552511242,0.7615967508047513,0.7665398470610489
1100,relu,32,1,0.2,0.9962188171858172,0.9981076180381638,0.8036074598256335,0.7391569688104264
1200,relu,32,1,0.2,0.885598857363534,0.941062621382623,0.7548450509133635,0.7681209324822059
1300,relu,32,1,0.2,1.3420073988041132,1.1584504300159386,0.9075002130500109,0.6486180829511403
1400,relu,32,1,0.2,0.9707794094280512,0.9852813859137151,0.7958667688265889,0.7458178470399184
1500,relu,32,1,0.2,1.1789462229263665,1.0857929005691493,0.8587052775403913,0.6913128912116776
1600,relu,32,1,0.2,0.901903367321546,0.9496859308853354,0.7815058843274113,0.7638518725867882
1700,relu,32,1,0.2,0.8896543650891651,0.9432149092805759,0.7809625482962366,0.7670590664444266
1800,relu,32,1,0.2,0.88250419340798,0.939416943326008,0.7522470378905981,0.7689312178459778
1900,relu,32,1,0.2,1.1226746302785904,1.0595634149396582,0.8277076833854448,0.7060466550624492
2000,relu,32,1,0.2,0.9249749613695097,0.9617561860313193,0.7713284810431758,0.75781096628987
